PPN,Title,Subtitle,Language,Extent,Description,Place,Date,URL,Location_Original,PPN_Original,License,IIIF_Manifest_URL
177826588X,Menükarte,"Lunch, ""S.S. Kaiser Wilhelm I""","ger, eng","1 Blatt Druck (mehrfarbig) 19,0 x 13,0 cm","Vorderseite: Oben Meeresszenerie mit großen Dampfern, links Speisenfolge deutsch, rechts Speisenfolge englisch; Rückseite: Musikprogramm","Australienfahrt der ""Kaiser Wilhelm II"" Norddeutscher Lloyd Bremen",2018,https://resolver.staatsbibliothek-berlin.de/SBB00030CD900000000,SBB-PK Berlin Menuekarte 159b,1778261035,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/177826588X/manifest
1778979165,Menükarte,"Menü, Hotel Kaiserhof",ger,"1 Blatt Druck 22,5 x 15,0 cm","Klappkarte, Vorderseite: ….; Innenseite: Einleger mit Kordel befestigt, Photo des Kaisers..., Speisenfolge; Rückseite: Wappen der graph. Kunstanstalt",Berlin,1961,https://resolver.staatsbibliothek-berlin.de/SBB000316DA00000000,SBB-PK Berlin Menuekarte 2556,1778912346,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1778979165/manifest
1779373368,Menükarte,"Speisekarte, Die Möwe, Haus der Künste",ger,"1 Blatt Druck 21,0 x 15,0 cm",nur Vorderseite:….;Speise- und Getränkeangebote mit Preisangaben,Berlin,1947,https://resolver.staatsbibliothek-berlin.de/SBB0003133300000000,SBB-PK Berlin Menuekarte 1631,1779372310,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1779373368/manifest
177937335X,Menükarte,"Menü, Hotel Bayerischer Hof",ger,"1 Blatt Druck 19,0 x 10,5 cm",nur Vorderseite:…; Menü und Tageskarte,München,1946,https://resolver.staatsbibliothek-berlin.de/SBB0003128600000000,SBB-PK Berlin Menuekarte 1464,1779372302,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/177937335X/manifest
1778976050,Weinkarte,"Weinprobe gegeben aus Anlaß des Kontinentalen Reklame-Kongresses…der deutschen Weinbauwirtschaft, Weinhaus ""Rheingold""",ger,"1 Blatt Druck 21,0 x 15,0 cm",Klappkarte; Vorderseite:…; Innenseite: Probenfolge der verschiedenen Weinsorten,Berlin,1936,https://resolver.staatsbibliothek-berlin.de/SBB0003128800000000,SBB-PK Berlin Menuekarte 1466,1778908756,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1778976050/manifest
1779373597,Speisekarte,"Kriegs-Speisen-Karte, Hauptbahnhof Halle",ger,"1 Blatt Druck 35,0 x 15,5 cm",nur Vorderseite: ….; Speisenangebote,Halle,1917,https://resolver.staatsbibliothek-berlin.de/SBB0003180400000000,SBB-PK Berlin Menuekarte 2844,1779372523,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1779373597/manifest
1779373589,Speisekarte,"Weinhaus ""Rheingold""",ger,"1 Blatt Druck 37,0 x 25,0 cm","Vorderseite: Abb. d. Weinhauses Rheingold, Mittagsgerichte; Rückseite.Tageskarte",Berlin,1917,https://resolver.staatsbibliothek-berlin.de/SBB0003180300000000,SBB-PK Berlin Menuekarte 2843,1779372515,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1779373589/manifest
1778980678,Frühstück,"Besuch Österreichischer u. UngarischerPressevertreter, Berliner Ratskeller",ger,"1 Blatt Druck 21,0 x 122,5 cm",^nur Vorderseite: Berliner Bär; Speisenfolge u. Getränkeangebote,Berlin,1917,https://resolver.staatsbibliothek-berlin.de/SBB0003180100000000,"SBB-PK Berlin Menuekarte 2842,1",1778914128,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1778980678/manifest
1779373600,Menükarte,Menü,ger,"1 Blatt Druck 18,0 x 8,0 cm","nur Vorderseite: Abb. der Iisis, Speisenfolge; handschr.: bei Mindeus",[Deutschland],1916,https://resolver.staatsbibliothek-berlin.de/SBB0003180600000000,SBB-PK Berlin Menuekarte 2846,1779372558,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1779373600/manifest
1778980260,Menükarte,Diner,fre,"1 Blatt Druck 20,0 x 12,5 cm","nur Vs:…;, handschr. Anmerkung: Fürst Solms",[Deutschland],1914,https://resolver.staatsbibliothek-berlin.de/SBB000317A300000000,SBB-PK Berlin Menuekarte 2750,1778913601,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1778980260/manifest
1778980252,Menükarte,Menü,fre,"1 Blatt Druck 20,0 x 12,5 cm","nur Vs:…;, handschr. Anmerkung: Fürst Solms",[Deutschland],1914,https://resolver.staatsbibliothek-berlin.de/SBB000317A200000000,SBB-PK Berlin Menuekarte 2749,1778913598,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1778980252/manifest
1778980244,Menükarte,Menü,fre,"1 Blatt Druck 14,5 x 9,5 cm",nur Vorderseite:…; Speisenfolge,[Deutschland],1914,https://resolver.staatsbibliothek-berlin.de/SBB0003179700000000,SBB-PK Berlin Menuekarte 2739,177891358X,Public Domain Mark 1.0,https://content.staatsbibliothek-berlin.de/dc/1778980244/manifest
